Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
4500.0,2.0,25.0,49.0,167.0,5.0,255.0,16.0,Turnigy nano-tech 4500mah 2S 25~50C Lipo Pack
4500.0,3.0,25.0,49.0,169.0,5.0,361.0,23.0,Turnigy nano-tech 4500mah 3S 25~50C Lipo Pack
4500.0,4.0,25.0,49.0,173.0,5.0,467.0,29.0,Turnigy nano-tech 4500mah 4S 25~50C Lipo Pack
4500.0,6.0,25.0,49.0,168.0,5.0,687.0,44.0,Turnigy nano-tech 4500mah 6S 25~50C Lipo Pack
5000.0,2.0,25.0,49.0,173.0,5.0,279.0,16.0,Turnigy nano-tech 5000mah 2S 25~50C Lipo Pack
5000.0,3.0,25.0,48.0,169.0,5.0,403.0,25.0,Turnigy nano-tech 5000mah 3S 25~50C Lipo Pack
5000.0,4.0,25.0,49.0,159.0,5.0,523.0,33.0,Turnigy nano-tech 5000mah 4S 25~50C Lipo Pack
5000.0,6.0,25.0,49.0,163.0,5.0,769.0,48.0,Turnigy nano-tech 5000mah 6S 25~50C Lipo Pack
6000.0,2.0,25.0,49.0,155.0,5.0,333.0,20.0,Turnigy nano-tech 6000mah 2S 25~50C Lipo Pack
6000.0,3.0,25.0,48.0,172.0,5.0,481.0,28.0,Turnigy nano-tech 6000mah 3S 25~50C Lipo Pack
6000.0,4.0,25.0,49.0,175.0,5.0,623.0,38.0,Turnigy nano-tech 6000mah 4S 25~50C Lipo Pack
6000.0,6.0,25.0,49.0,167.0,5.0,908.0,55.0,Turnigy nano-tech 6000mah 6S 25~50C Lipo Pack
1800.0,4.0,35.0,35.0,103.0,5.0,207.0,29.0,Turnigy nano-tech 1800mah 4S 35~70C Lipo Pack
2200.0,3.0,35.0,35.0,115.0,8.0,199.0,27.0,Turnigy nano-tech 2200mah 3S 35~70C Lipo Pack
2200.0,4.0,35.0,36.0,117.0,8.0,253.0,35.0,Turnigy nano-tech 2200mah 4S 35~70C Lipo Pack
2650.0,3.0,35.0,44.0,134.0,8.0,220.0,17.0,Turnigy nano-tech 2650mah 3S 35~70C Lipo Pack
2650.0,4.0,35.0,45.0,145.0,8.0,291.0,22.0,Turnigy nano-tech 2650mah 4S 35~70C Lipo Pack
2650.0,6.0,35.0,44.0,146.0,8.0,417.0,33.0,Turnigy nano-tech 2650mAh 6S 35~70C Lipo Pack
3300.0,3.0,35.0,44.0,133.0,5.0,270.0,21.0,Turnigy nano-tech 3300mah 3S 35~70C Lipo Pack
3300.0,4.0,35.0,45.0,145.0,8.0,361.0,26.0,Turnigy nano-tech 3300mah 4S 35~70C Lipo Pack
